Movie_Name,Year,Duration_Minutes,IMDB_Rating,Gross_Million_USD
The Dark Knight,2008,152,9.0,1004.0
Forrest Gump,1994,142,8.8,678.0
Inception,2010,148,8.8,829.0
Titanic,1997,195,7.8,2187.0
The Room,2003,99,3.7,1.8
Avengers: Endgame,2019,181,8.4,2798.0
The Godfather,1972,175,9.2,246.0
Twilight,2008,122,5.2,402.0
Interstellar,2014,169,8.6,677.0
Cats,2019,110,2.7,75.0
